YYYYMM,kubun,industry,Average_PER,Average_PBR,,,,,,,,,,,,,,,,,,,,,,,
2025/11,Growth,建設業,25.3,2.3,,,,,,,,,,,,,,,,,,,,,,,
2025/11,Growth,食料品,62.6,3.8,,,,,,,,,,,,,,,,,,,,,,,
2025/11,Growth,繊維製品,23.0,6.9,,,,,,,,,,,,,,,,,,,,,,,
2025/11,Growth,パルプ・紙,－,－,,,,,,,,,,,,,,,,,,,,,,,
2025/11,Growth,化学,15.2,1.8,,,,,,,,,,,,,,,,,,,,,,,
2025/11,Growth,医薬品,－,5.7,,,,,,,,,,,,,,,,,,,,,,,
2025/11,Growth,石油・石炭製品,－,－,,,,,,,,,,,,,,,,,,,,,,,
2025/11,Growth,ゴム製品,－,－,,,,,,,,,,,,,,,,,,,,,,,
2025/11,Growth,ガラス・土石製品,－,－,,,,,,,,,,,,,,,,,,,,,,,
2025/11,Growth,鉄鋼,－,－,,,,,,,,,,,,,,,,,,,,,,,
2025/11,Growth,非鉄金属,9.7,1.1,,,,,,,,,,,,,,,,,,,,,,,
2025/11,Growth,金属製品,106.7,24.0,,,,,,,,,,,,,,,,,,,,,,,
2025/11,Growth,機械,556.4,3.6,,,,,,,,,,,,,,,,,,,,,,,
2025/11,Growth,電気機器,－,2.6,,,,,,,,,,,,,,,,,,,,,,,
2025/11,Growth,輸送用機器,28.5,5.4,,,,,,,,,,,,,,,,,,,,,,,
2025/11,Growth,精密機器,－,4.5,,,,,,,,,,,,,,,,,,,,,,,
2025/11,Growth,その他製品,39.1,2.8,,,,,,,,,,,,,,,,,,,,,,,
2025/11,Growth,電気・ガス業,22.1,4.9,,,,,,,,,,,,,,,,,,,,,,,
2025/11,Growth,陸運業,－,－,,,,,,,,,,,,,,,,,,,,,,,
2025/11,Growth,海運業,－,－,,,,,,,,,,,,,,,,,,,,,,,
2025/11,Growth,空運業,10.8,0.9,,,,,,,,,,,,,,,,,,,,,,,
2025/11,Growth,倉庫・運輸関連業,－,2.2,,,,,,,,,,,,,,,,,,,,,,,
2025/11,Growth,情報・通信業,55.3,3.6,,,,,,,,,,,,,,,,,,,,,,,
2025/11,Growth,卸売業,62.3,3.3,,,,,,,,,,,,,,,,,,,,,,,
2025/11,Growth,小売業,31.2,2.6,,,,,,,,,,,,,,,,,,,,,,,
2025/11,Growth,銀行業,－,－,,,,,,,,,,,,,,,,,,,,,,,
2025/11,Growth,証券、商品先物取引業,8.4,1.9,,,,,,,,,,,,,,,,,,,,,,,
2025/11,Growth,保険業,24.5,1.5,,,,,,,,,,,,,,,,,,,,,,,
2025/11,Growth,その他金融業,－,3.0,,,,,,,,,,,,,,,,,,,,,,,
2025/11,Growth,不動産業,15.6,2.5,,,,,,,,,,,,,,,,,,,,,,,
2025/11,Growth,サービス業,31.7,2.5,,,,,,,,,,,,,,,,,,,,,,,
